Quarter,Price
Q2-1992,62000
Q3-1992,64000
Q4-1992,59000
Q1-1993,60000
Q2-1993,62000
Q3-1993,64000
Q4-1993,63000
Q1-1994,62000
Q2-1994,65000
Q3-1994,66000
Q4-1994,66000
Q1-1995,62000
Q2-1995,65000
Q3-1995,68000
Q4-1995,67000
Q1-1996,66000
Q2-1996,69000
Q3-1996,73000
Q4-1996,73000
Q1-1997,73000
Q2-1997,76000
Q3-1997,78000
Q4-1997,76000
Q1-1998,78000
Q2-1998,81000
Q3-1998,85000
Q4-1998,83000
Q1-1999,84000
Q2-1999,90000
Q3-1999,97000
Q4-1999,97000
Q1-2000,97000
Q2-2000,102000
Q3-2000,102000
Q4-2000,104000
Q1-2001,107000
Q2-2001,112000
Q3-2001,117000
Q4-2001,113000
Q1-2002,113000
Q2-2002,126000
Q3-2002,136000
Q4-2002,134000
Q1-2003,134000
Q2-2003,142000
Q3-2003,162000
Q4-2003,166000
Q1-2004,169000
Q2-2004,177000
Q3-2004,189000
Q4-2004,186000
Q1-2005,185000
Q2-2005,190000
Q3-2005,199000
Q4-2005,189000
Q1-2006,193000
Q2-2006,199000
Q3-2006,214000
Q4-2006,212000
Q1-2007,217000
Q2-2007,219000
Q3-2007,232000
Q4-2007,226000
Q1-2008,227000
Q2-2008,228000
Q3-2008,233000
Q4-2008,222000
Q1-2009,217000
Q2-2009,216000
Q3-2009,236000
Q4-2009,235000
Q1-2010,253000
Q2-2010,249000
Q3-2010,258000
Q4-2010,244000
Q1-2011,244000
Q2-2011,240000
Q3-2011,254000
Q4-2011,242000
Q1-2012,239000
Q2-2012,244000
Q3-2012,254000
Q4-2012,247000
Q1-2013,243000
Q2-2013,245000
Q3-2013,260000
Q4-2013,255000
Q1-2014,260000
Q2-2014,264000
Q3-2014,278000
Q4-2014,266000
Q1-2015,270000
Q2-2015,267000
Q3-2015,288000
Q4-2015,281000
Q1-2016,293000
Q2-2016,268000
Q3-2016,286000
Q4-2016,283000
Q1-2017,275000
Q2-2017,279000
Q3-2017,288000
Q4-2017,279000
Q1-2018,281000
Q2-2018,279000
Q3-2018,290000
Q4-2018,281000
Q1-2019,276000
Q2-2019,276000
Q3-2019,288000
Q4-2019,289000
Q1-2020,291000
Q2-2020,281000
Q3-2020,316000
Q4-2020,326000
Q1-2021,345000
Q2-2021,343000
Q3-2021,295000
Q4-2021,311000
Q1-2022,330000
Q2-2022,335000
Q3-2022,354000
Q4-2022,343000
Q1-2023,328000
Q2-2023,327000
Q3-2023,342000
Q4-2023,326000
